USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   10998880   7484 do_epoll_wait       0 S init
root             2     0          0      0 kthreadd            0 S [kthreadd]
root             3     2          0      0 rescuer_thread      0 I [rcu_gp]
root             4     2          0      0 rescuer_thread      0 I [rcu_par_gp]
root             8     2          0      0 rescuer_thread      0 I [mm_percpu_wq]
root            10     2          0      0 rcu_tasks_kthread   0 S [rcu_tasks_kthre]
root            11     2          0      0 rcu_tasks_kthread   0 S [rcu_tasks_trace]
root            12     2          0      0 smpboot_thread_fn   0 S [ksoftirqd/0]
root            13     2          0      0 rcu_gp_fqs_loop     0 I [rcu_preempt]
root            14     2          0      0 rcu_boost_kthread   0 S [rcub/0]
root            15     2          0      0 smpboot_thread_fn   0 S [rcuc/0]
root            16     2          0      0 smpboot_thread_fn   0 S [migration/0]
root            17     2          0      0 smpboot_thread_fn   0 S [cpuhp/0]
root            18     2          0      0 smpboot_thread_fn   0 S [cpuhp/1]
root            19     2          0      0 smpboot_thread_fn   0 S [migration/1]
root            20     2          0      0 smpboot_thread_fn   0 S [rcuc/1]
root            21     2          0      0 smpboot_thread_fn   0 S [ksoftirqd/1]
root            24     2          0      0 smpboot_thread_fn   0 S [cpuhp/2]
root            25     2          0      0 smpboot_thread_fn   0 S [migration/2]
root            26     2          0      0 smpboot_thread_fn   0 S [rcuc/2]
root            27     2          0      0 smpboot_thread_fn   0 S [ksoftirqd/2]
root            30     2          0      0 smpboot_thread_fn   0 S [cpuhp/3]
root            31     2          0      0 smpboot_thread_fn   0 S [migration/3]
root            32     2          0      0 smpboot_thread_fn   0 S [rcuc/3]
root            33     2          0      0 smpboot_thread_fn   0 S [ksoftirqd/3]
root            36     2          0      0 smpboot_thread_fn   0 S [cpuhp/4]
root            37     2          0      0 smpboot_thread_fn   0 S [migration/4]
root            38     2          0      0 smpboot_thread_fn   0 S [rcuc/4]
root            39     2          0      0 smpboot_thread_fn   0 S [ksoftirqd/4]
root            42     2          0      0 smpboot_thread_fn   0 S [cpuhp/5]
root            43     2          0      0 smpboot_thread_fn   0 S [migration/5]
root            44     2          0      0 smpboot_thread_fn   0 S [rcuc/5]
root            45     2          0      0 smpboot_thread_fn   0 S [ksoftirqd/5]
root            48     2          0      0 smpboot_thread_fn   0 S [cpuhp/6]
root            49     2          0      0 smpboot_thread_fn   0 S [migration/6]
root            50     2          0      0 smpboot_thread_fn   0 S [rcuc/6]
root            51     2          0      0 smpboot_thread_fn   0 S [ksoftirqd/6]
root            54     2          0      0 smpboot_thread_fn   0 S [cpuhp/7]
root            55     2          0      0 smpboot_thread_fn   0 S [migration/7]
root            56     2          0      0 smpboot_thread_fn   0 S [rcuc/7]
root            57     2          0      0 smpboot_thread_fn   0 S [ksoftirqd/7]
root            60     2          0      0 rescuer_thread      0 I [netns]
root            69     2          0      0 kauditd_thread      0 S [kauditd]
root            70     2          0      0 watchdog            0 S [khungtaskd]
root            71     2          0      0 oom_reaper          0 S [oom_reaper]
root            72     2          0      0 rescuer_thread      0 I [writeback]
root            73     2          0      0 kcompactd           0 S [kcompactd0]
root           117     2          0      0 rescuer_thread      0 I [kblockd]
root           118     2          0      0 rescuer_thread      0 I [blkcg_punt_bio]
root           119     2          0      0 rescuer_thread      0 I [edac-poller]
root           120     2          0      0 rescuer_thread      0 I [devfreq_wq]
root           121     2          0      0 kthread_worker_fn   0 S [watchdogd]
root           143     2          0      0 kswapd_try_to_sleep 0 S [kswapd0]
root           145     2          0      0 kthread_worker_fn   0 S [erofs_worker/0]
root           154     2          0      0 deferred_free_thread 0 S [dmabuf-deferred]
root           155     2          0      0 rescuer_thread      0 I [uas]
root           156     2          0      0 rescuer_thread      0 I [dm_bufio_cache]
root           158     2          0      0 rescuer_thread      0 I [ipv6_addrconf]
root           159     2          0      0 rfcomm_run          0 S [krfcommd]
root           168     2          0      0 irq_wait_for_interrupt 0 S [irq/152-amms_ir]
root           170     2          0      0 msleep              0 D [hang_detect]
root           171     2          0      0 hang_detect_dump_thread 0 S [hang_detect1]
root           172     2          0      0 rescuer_thread      0 I [mt-wdk]
root           173     2          0      0 kwdt_thread         0 D [wdtk-0]
